horizon,model,n_test,nominal_coverage,empirical_coverage,coverage_error,avg_interval_width,winkler_score,median_mae_price,median_mae_delta,naive_mae_price,naive_mae_delta,mae_improvement_vs_naive,model_to_naive_mae_ratio,directional_accuracy,pinball_delta_q05,pinball_delta_q50,pinball_delta_q95,raw_empirical_coverage,raw_avg_interval_width,raw_winkler_score,conformal_adjustment,selected
1s,gbrt_quantile,14922,0.8999999999999999,0.9284278246883796,0.028427824688379677,0.11713958759181782,0.16267718559586994,0.014480801772515402,0.014480801772514668,0.013828722448352508,0.013828722448352508,-0.04715398162037587,1.0471539816203759,0.4654702407996365,0.003794148816728665,0.007240400886257334,0.004339710463064955,0.9279587186704196,0.11671599153199981,0.16255760361185834,0.00021179802990900498,True
1s,extra_trees_quantile,14922,0.8999999999999999,0.9412277174641469,0.041227717464146996,0.1331781981396921,0.16922807185209027,0.014314315052247102,0.014314315052247046,0.013828722448352508,0.013828722448352508,-0.035114784153647216,1.0351147841536472,0.2977055883689232,0.0036667381834423305,0.007157157526123523,0.004794665409162201,0.9412277174641469,0.1331781981396921,0.16922807185209027,0.0,False
5s,gbrt_quantile,14912,0.8999999999999999,0.9165101931330472,0.016510193133047246,0.2711236435190424,0.37080381829158915,0.053325244504115625,0.05332524450411538,0.04260113788824408,0.04260113788824408,-0.2517328678873363,1.2517328678873363,0.47444670937682004,0.009108409308243866,0.02666262225205769,0.00943178160633572,0.9066523605150214,0.2589229231145348,0.3692654249150388,0.006100360202253796,True
5s,extra_trees_quantile,14912,0.8999999999999999,0.9416577253218884,0.041657725321888495,0.3410693545765874,0.40003670563689,0.045473720539684126,0.04547372053968363,0.04260113788824408,0.04260113788824408,-0.06742971652484298,1.067429716524843,0.4531887012230635,0.008470881657302236,0.022736860269841817,0.011530953624542357,0.9416577253218884,0.3410693545765874,0.40003670563689,0.0,False
10s,gbrt_quantile,14900,0.8999999999999999,0.9377181208053691,0.03771812080536918,0.4702401555185682,0.5405897712243064,0.09050819310532664,0.09050819310532647,0.06420771069114134,0.06420771069114134,-0.4096156385437668,1.4096156385437668,0.4678374655647383,0.01275268208166929,0.045254096552663235,0.014276806479545885,0.9291275167785235,0.4435325484979424,0.5318777358002903,0.0133538035103129,True
10s,extra_trees_quantile,14900,0.8999999999999999,0.9367114093959732,0.03671140939597328,0.48207521784148577,0.5546381037794119,0.0727273690361623,0.0727273690361622,0.06420771069114134,0.06420771069114134,-0.13268902213323108,1.132689022133231,0.4738292011019284,0.011625667629395209,0.0363636845180811,0.01610623755957557,0.9367114093959732,0.48207521784148577,0.5546381037794119,0.0,False
