horizon_seconds,selected_model,nominal_coverage,empirical_coverage,coverage_error,avg_radius,avg_interval_width,radius_pinball_loss,winkler_score,naive_center_mae,point_forecast,point_improvement_vs_naive,avg_abs_move,max_abs_move,raw_empirical_coverage,raw_avg_interval_width,conformal_padding
1.0,gbrt_radius,0.9,0.9559236384053902,0.055923638405390164,0.06757178596557738,0.13514357193115475,0.006869688585096993,0.1653217519490556,0.01396399012355785,persistence_mid,0.0,0.01396399012355785,0.2691341793694164,0.9559236384053902,0.13514357193115475,0.0
5.0,gbrt_radius,0.9,0.965865992414665,0.06586599241466495,0.16775328692719568,0.33550657385439137,0.014245237613306152,0.3708409103623632,0.04296807904812004,persistence_mid,0.0,0.04296807904812004,0.3450000000000273,0.965865992414665,0.33550657385439137,0.0
10.0,gbrt_radius,0.9,0.9678031634446397,0.06780316344463966,0.22862776021178802,0.45725552042357603,0.01845746291070824,0.4976855465422679,0.06426814416405155,persistence_mid,0.0,0.06426814416405155,0.4049999999999727,0.9678031634446397,0.45725552042357603,0.0
