model,PF_method,avg_pinball_loss,avg_winkler_score,median_pinball_loss,median_winkler_score,pred_horizon_hours
Johnson SU-DNN,JSU,0.27709859333270076,17.226471736438505,0.2293868889677116,16.77786344816127,24
Normal-DNN,Normal,0.28497479073148607,17.692330997212533,0.24202285067845206,17.27858818712908,24
QR-DNN,qr,0.33180771344573584,20.41351807883869,0.2632889938846714,20.323770738417103,24
